market-census	ts/src/bitbns.ts	cancelOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchOpenOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchMyTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchDeposits	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchWithdrawals	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/bitbns.ts	fetchDepositAddress	currency	currency	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOrderBook	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchTicker	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	checkNoStockSymbols	symbolMarket	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	parseTickersForRolling	tickerMarket	safeMarket	4	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	parseTickersForRolling	parsedTicker	parseTicker	1	none	no-table-entry	-	Object	sim-ok
market-census	ts/src/binance.ts	fetchMarkPrice	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchOHLCV	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	fetchTrades	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editSpotOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editSpotOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editContractOrderRequest	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editContractOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editOrder	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
market-census	ts/src/binance.ts	editOrders	market	market	1	typed:java.util.Map<String, Object>	-	-	retyped	-
